,Petróleo (bbl/d),Gás Natural (Mm³/d),Produção Total (boe/d)
2010-Setembro,1997665.0,63921.0,2399730.0
2010-Outubro,1997694.0,64969.0,2406350.0
2010-Novembro,2088995.0,66234.0,2505605.0
2010-Dezembro,2180071.0,69210.0,2615401.0
2011-Janeiro,2122276.0,66256.0,2539026.0
2011-Fevereiro,2062130.0,62817.0,2457251.0
2011-Março,2082068.0,61436.0,2468500.0
2011-Abril,2051903.0,62544.0,2445302.0
2011-Maio,2071678.0,66667.0,2491016.0
2011-Junho,2137025.0,67268.0,2560143.0
2011-Julho,2076882.0,66879.0,2497549.0
2011-Agosto,2052048.0,66522.0,2470472.0
2011-Setembro,2099210.0,65261.0,2509701.0
2011-Outubro,2104743.0,66257.0,2521502.0
2011-Novembro,2188482.0,67868.0,2615373.0
2011-Dezembro,2213929.0,71358.0,2662774.0
2012-Janeiro,2230552.0,71125.0,2677927.0
2012-Fevereiro,2205056.0,67104.0,2627137.0
2012-Março,2085092.0,66189.0,2501423.0
2012-Abril,2021531.0,65313.0,2432349.0
2012-Maio,2047763.0,68402.0,2478009.0
2012-Junho,2032796.0,71982.0,2485562.0
2012-Julho,2023244.0,70979.0,2469702.0
2012-Agosto,2006125.0,71447.0,2455528.0
2012-Setembro,1923535.0,71741.0,2374783.0
2012-Outubro,2011245.0,72971.0,2470236.0
2012-Novembro,2044779.0,73320.0,2505961.0
2012-Dezembro,2104723.0,76182.0,2583905.0
2013-Janeiro,2053589.0,75852.0,2530700.0
2013-Fevereiro,2017299.0,76537.0,2498719.0
2013-Março,1852647.0,77254.0,2338576.0
2013-Abril,1922812.0,74701.0,2392679.0
2013-Maio,1993308.0,74852.0,2464128.0
2013-Junho,2100950.0,79988.0,2604076.0
2013-Julho,1974447.0,78497.0,2468191.0
2013-Agosto,2010999.0,76987.0,2495244.0
2013-Setembro,2093942.0,78143.0,2585461.0
2013-Outubro,2078758.0,72863.0,2537063.0
2013-Novembro,2081112.0,79063.0,2578420.0
2013-Dezembro,2109281.0,81576.0,2622393.0
2014-Janeiro,2052541.0,80356.0,2557978.0
2014-Fevereiro,2089694.0,83248.0,2613326.0
2014-Março,2118647.0,83409.0,2643290.0
2014-Abril,2146148.0,82857.0,2667317.0
2014-Maio,2189368.0,84537.0,2721103.0
2014-Junho,2245501.0,86565.0,2789996.0
2014-Julho,2267278.0,87877.0,2820027.0
2014-Agosto,2326311.0,90907.0,2898113.0
